px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.734108	0.628248	7.23347	-1.85146e-17	1.7503e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	73.9473
1.16053	0.494861	7.23669	-0.126964	-0.0118358	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.21963
1.25747	0.533288	7.22074	0.121145	0.0302805	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.82684
1.61635	0.59526	7.23513	0.160563	0.0462328	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.164886
1.85132	0.563116	5.96283	0.0300797	-0.213754	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	7.12923
2.16137	0.593144	5.96351	0.0445116	-0.160657	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.245942
2.37674	0.640556	5.51285	0.0690542	-0.248831	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	5.362
2.65081	0.659586	5.51319	0.0592798	-0.238899	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.00365384
2.91742	0.653979	5.45102	0.0157937	-0.372654	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.192521
3.15055	0.652037	5.40402	0.00328282	-0.351196	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	1.08717
3.43781	0.547359	5.45864	-0.149379	-0.788103	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.46045
3.74177	0.433713	5.54735	-0.275286	-1.04181	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	2.30578
4.02109	0.518758	5.52886	-0.135068	-0.511468	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	3.97474
4.29454	0.512077	5.50366	-0.127245	-0.429598	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.308899
4.55185	0.555331	5.35884	-0.0774854	-0.269562	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	1.64232
4.73188	0.670093	5.13369	0.031713	-0.0086143	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	11.6131
4.98325	0.668301	5.03839	0.0226698	-0.0249851	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	1.06683
5.28232	0.660022	5.1217	0.00828012	-0.0503058	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	3.009
5.54319	0.665111	5.25159	0.00992678	-0.0420486	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.94142
5.84001	0.677961	5.30847	0.0138388	-0.0324253	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	1.81274
6.08064	0.604712	5.15097	-0.0405218	-0.118717	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	3.37366
6.33281	0.716888	5.12804	0.0343389	0.00688255	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	3.6658
6.58277	0.748441	5.08393	0.0490001	0.028229	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.305266
6.82802	0.74579	5.07107	0.0414578	0.0153516	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.176076
7.06899	0.729524	4.91497	0.0260079	-0.00839039	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	1.92125
7.2823	0.812379	4.85991	0.0708062	0.054313	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	2.56405
7.58178	0.823208	5.15371	0.068096	0.0470028	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	5.33475
7.83486	0.801283	5.14589	0.0486804	0.0180326	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.488213
8.08264	0.818645	5.00066	0.051893	0.0201916	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.17778
8.31823	0.835803	4.97754	0.0556056	0.0238741	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.263745
8.59221	0.924397	5.22981	0.0959518	0.0758611	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.74144
8.83332	0.984107	5.20056	0.118269	0.100093	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.692792
9.12542	1.02365	5.26504	0.125956	0.103132	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.7798
9.3652	1.05691	5.22938	0.131915	0.104439	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.636132
9.64632	1.13178	5.29787	0.155993	0.128661	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.33709
9.92484	1.26232	5.34615	0.205553	0.18429	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	2.99678
10.1696	1.35385	5.15479	0.235522	0.213235	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.79876
10.391	1.43374	5.11262	0.257282	0.228058	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.12167
10.6196	1.51589	4.92093	0.280382	0.245674	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	2.92999
10.8382	1.54384	4.87473	0.273847	0.22162	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	1.12653
11.1076	1.59662	5.02755	0.27304	0.204554	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	2.46759
11.3888	1.64267	5.08286	0.268132	0.184532	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	2.16119
11.6185	1.69806	5.00131	0.27312	0.1797	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.642973
11.8461	1.76165	4.97821	0.281014	0.178375	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.252803
12.1051	1.85543	5.14	0.297847	0.187095	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	1.51563
12.3497	1.88186	5.11257	0.2827	0.155435	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.681472
12.6075	1.94489	5.2151	0.283328	0.144981	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.695426
12.8089	2.08127	5.17046	0.326684	0.19162	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	3.19877
13.0786	2.19614	5.34518	0.346167	0.202181	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	2.6571
13.2852	2.33832	5.30472	0.385917	0.240386	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.48723
13.4578	2.48368	5.0158	0.433448	0.291804	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	10.9395
13.708	2.59715	5.05867	0.447833	0.291441	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.905725
13.927	2.71004	5.02965	0.464941	0.295281	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.129857
14.1559	2.86356	5.07039	0.497157	0.317418	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.55656
14.408	2.98084	5.24196	0.501271	0.297732	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.36057
14.6154	3.04438	5.15112	0.490337	0.265047	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.4193
14.8472	3.20752	5.27347	0.518874	0.282162	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.36956
15.059	3.40147	5.30896	0.563622	0.321116	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.851808
15.2674	3.57186	5.21533	0.598309	0.349359	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.60473
15.4831	3.75737	5.25737	0.631609	0.369427	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.424673
15.6931	3.89241	5.22104	0.641049	0.358479	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	1.09576
15.9161	4.02874	5.21804	0.646479	0.342679	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.271186
16.1105	4.18617	5.08198	0.670642	0.357403	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.48209
16.3064	4.37981	5.12232	0.703037	0.375798	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.313622
16.5174	4.54558	5.18014	0.715417	0.365692	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.707134
16.6946	4.70759	5.14621	0.733602	0.365475	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.497207
16.8477	4.8844	4.89824	0.77201	0.403024	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	3.27114
17.0076	5.11251	4.958	0.817756	0.435335	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.688273
17.1802	5.27225	4.92803	0.829278	0.422605	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.49573
17.3356	5.4518	4.91224	0.851192	0.42352	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.1271
17.4949	5.60705	4.83779	0.862082	0.41234	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	2.75427
17.6843	5.72596	4.77447	0.847939	0.368892	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	1.36086
17.8325	5.90832	4.705	0.872901	0.381225	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.555527
